C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 15108 GC.class_histogram
15108:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         66655        8781704  [B (java.base@17.0.6)
   2:          2641        1632256  [I (java.base@17.0.6)
   3:         61195        1468680  java.lang.String (java.base@17.0.6)
   4:          7086         874296  java.lang.Class (java.base@17.0.6)
   5:         10982         664128  [Ljava.lang.Object; (java.base@17.0.6)
   6:           398         486984  [C (java.base@17.0.6)
   7:         13313         426016  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.6)
   8:          6109         244360  java.util.LinkedHashMap$Entry (java.base@17.0.6)
   9:          1703         178856  [Ljava.util.HashMap$Node; (java.base@17.0.6)
  10:          5001         160032  java.util.HashMap$Node (java.base@17.0.6)
  11:           221         149736  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.6)
  12:          6197         148728  java.util.ArrayList (java.base@17.0.6)
  13:          6813         109008  java.lang.Object (java.base@17.0.6)
  14:           875          77000  java.lang.reflect.Method (java.base@17.0.6)
  15:          1189          66584  java.util.LinkedHashMap (java.base@17.0.6)
  16:          1755          56160  sun.security.util.ObjectIdentifier (java.base@17.0.6)
  17:          1714          52968  [Ljava.lang.String; (java.base@17.0.6)
  18:           812          51968  com.jetbrains.toolbox.feed.RemotePatchItem
  19:          1103          44120  sun.security.util.DerInputStream (java.base@17.0.6)
  20:           898          43104  java.lang.invoke.MemberName (java.base@17.0.6)
  21:           817          39216  java.util.HashMap (java.base@17.0.6)
  22:          1277          37384  [Ljava.lang.Class; (java.base@17.0.6)
  23:           496          35712  java.lang.reflect.Field (java.base@17.0.6)
  24:           885          35400  java.math.BigInteger (java.base@17.0.6)
  25:          1103          35296  sun.security.util.DerValue (java.base@17.0.6)
  26:           487          31168  java.util.concurrent.ConcurrentHashMap (java.base@17.0.6)
  27:           779          31160  java.lang.invoke.MethodType (java.base@17.0.6)
  28:          1110          26640  com.jetbrains.toolbox.feed.ProductOverviewAdditionalLink
  29:          1103          26472  [Lsun.security.x509.AVA; (java.base@17.0.6)
  30:          1103          26472  sun.security.x509.AVA (java.base@17.0.6)
  31:          1103          26472  sun.security.x509.RDN (java.base@17.0.6)
  32:           342          25992  [Ljava.lang.ref.SoftReference; (java.base@17.0.6)
  33:           785          25120  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.6)
  34:           178          24208  com.jetbrains.toolbox.feed.RemoteFeedItem
  35:           603          24120  java.lang.ref.SoftReference (java.base@17.0.6)
  36:           597          23880  java.util.TreeMap$Entry (java.base@17.0.6)
  37:           743          23776  java.lang.invoke.LambdaForm$Name (java.base@17.0.6)
  38:           990          23760  com.jetbrains.toolbox.feed.RemoteChecksum
  39:           718          22976  java.lang.ref.WeakReference (java.base@17.0.6)
  40:           442          21216  com.sun.jna.Structure$StructField
  41:           812          19488  com.jetbrains.toolbox.feed.PatchAsserts
  42:           812          19488  com.jetbrains.toolbox.feed.PatchAssertsStopwords
  43:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.6)
  44:           774          18576  org.bouncycastle.asn1.ASN1ObjectIdentifier
  45:           755          18120  com.jetbrains.toolbox.feed.SupportedLanguage
  46:           257          16808  [Z (java.base@17.0.6)
  47:            83          16208  [J (java.base@17.0.6)
  48:           245          15680  java.security.Provider$Service (java.base@17.0.6)
  49:           644          15456  java.security.Provider$ServiceKey (java.base@17.0.6)
  50:           202          14544  java.lang.reflect.Constructor (java.base@17.0.6)
  51:           301          14448  kotlinx.coroutines.internal.DispatchedContinuation
  52:           598          14352  java.lang.invoke.ResolvedMethodName (java.base@17.0.6)
  53:           291          13968  sun.security.x509.X500Name (java.base@17.0.6)
  54:           572          13728  name.kropp.kotlinx.gettext.PoEntry
  55:           178          11392  com.jetbrains.toolbox.feed.ApplicationPackage
  56:           282          11280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.6)
  57:            55          11216  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.6)
  58:           137          10960  sun.security.x509.X509CertImpl (java.base@17.0.6)
  59:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.6)
  60:           436          10464  kotlin.coroutines.CombinedContext
  61:           425          10200  java.util.Arrays$ArrayList (java.base@17.0.6)
  62:           140          10080  com.jetbrains.toolbox.feed.IntelliJPlatformData
  63:           622           9952  java.lang.Integer (java.base@17.0.6)
  64:           412           9888  sun.security.x509.AlgorithmId (java.base@17.0.6)
  65:           291           9880  [Lsun.security.x509.RDN; (java.base@17.0.6)
  66:           304           9728  com.jetbrains.toolbox.feed.Command
  67:           304           9728  java.lang.invoke.DirectMethodHandle (java.base@17.0.6)
  68:           384           9216  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.6)
  69:           287           9184  com.jetbrains.toolbox.feed.IntelliJOptions
  70:           280           8960  kotlinx.coroutines.ChildHandleNode
  71:           371           8904  java.lang.Long (java.base@17.0.6)
  72:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.6)
  73:           348           8352  kotlinx.serialization.json.JsonLiteral
  74:           162           8280  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.6)
  75:           257           8224  java.util.Collections$SynchronizedMap (java.base@17.0.6)
  76:           102           8160  com.sun.jna.platform.win32.Guid$GUID
  77:           497           7952  java.util.LinkedHashMap$LinkedEntrySet (java.base@17.0.6)
  78:           487           7792  java.util.LinkedHashSet (java.base@17.0.6)
  79:           137           7672  sun.security.x509.X509CertInfo (java.base@17.0.6)
  80:           157           7536  java.lang.invoke.LambdaForm (java.base@17.0.6)
  81:           149           7152  kotlinx.coroutines.CancellableContinuationImpl
  82:           178           7120  com.jetbrains.toolbox.feed.RemoteFeedItemLicensing
  83:           147           7056  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.6)
  84:           420           6720  com.jetbrains.toolbox.feed.LocalizationPluginInfo
  85:           208           6656  java.lang.invoke.MethodTypeForm (java.base@17.0.6)
  86:            18           6624  java.lang.Thread (java.base@17.0.6)
  87:           276           6624  java.util.Date (java.base@17.0.6)
  88:           138           6624  java.util.TreeMap (java.base@17.0.6)
  89:           164           6560  com.jetbrains.toolbox.feed.AdditionalInstallStep
  90:           267           6408  kotlin.SafePublicationLazyImpl
  91:           260           6240  com.jetbrains.toolbox.feed.IntelliJConfiguration
  92:            76           6232  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.6)
  93:           257           6168  java.time.LocalDateTime (java.base@17.0.6)
