C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 4336 GC.class_histogram
4336:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         17681        6271384  [B (java.base@11.0.19)
   2:          1438        1017136  [I (java.base@11.0.19)
   3:          3987         475600  java.lang.Class (java.base@11.0.19)
   4:         16924         406176  java.lang.String (java.base@11.0.19)
   5:          5920         387112  [Ljava.lang.Object; (java.base@11.0.19)
   6:         10339         330848  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.19)
   7:           361         184200  [C (java.base@11.0.19)
   8:          4604         147328  java.util.HashMap$Node (java.base@11.0.19)
   9:          1873         134856  io.netty.buffer.PoolSubpage
  10:           147          97680  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.19)
  11:          3041          97312  java.lang.invoke.LambdaForm$Name (java.base@11.0.19)
  12:          6032          96512  java.lang.Object (java.base@11.0.19)
  13:          1476          70848  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.19)
  14:           533          65232  [Ljava.util.HashMap$Node; (java.base@11.0.19)
  15:          1962          62784  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.19)
  16:           666          58608  java.lang.reflect.Method (java.base@11.0.19)
  17:          1188          57024  java.lang.invoke.MemberName (java.base@11.0.19)
  18:          1647          46848  [Ljava.lang.Class; (java.base@11.0.19)
  19:          1138          45520  java.lang.ref.SoftReference (java.base@11.0.19)
  20:            80          43520  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscAtomicArrayQueue
  21:          1962          31392  java.util.concurrent.locks.ReentrantLock (java.base@11.0.19)
  22:           696          27840  java.lang.invoke.MethodType (java.base@11.0.19)
  23:           857          27424  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.19)
  24:           548          26304  java.util.HashMap (java.base@11.0.19)
  25:           355          25448  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.19)
  26:           360          24480  [Ljava.lang.ref.SoftReference; (java.base@11.0.19)
  27:           738          23616  java.util.Locale (java.base@11.0.19)
  28:           737          23584  sun.util.locale.BaseLocale (java.base@11.0.19)
  29:           737          23584  sun.util.locale.BaseLocale$Key (java.base@11.0.19)
  30:           719          23008  org.jetbrains.jps.model.library.impl.JpsLibraryRootImpl
  31:           819          19656  java.lang.invoke.ResolvedMethodName (java.base@11.0.19)
  32:           264          19008  java.lang.reflect.Field (java.base@11.0.19)
  33:           570          18240  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.19)
  34:           350          16800  java.lang.invoke.LambdaForm (java.base@11.0.19)
  35:           245          15680  java.lang.Class$ReflectionData (java.base@11.0.19)
  36:           184          14720  java.lang.reflect.Constructor (java.base@11.0.19)
  37:           201          14040  [Ljava.lang.String; (java.base@11.0.19)
  38:           288          13824  io.netty.buffer.PoolChunkList
  39:           311          12440  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.19)
  40:           214          11984  java.lang.invoke.MethodTypeForm (java.base@11.0.19)
  41:           208          11648  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.19)
  42:           178          11392  java.util.concurrent.ConcurrentHashMap (java.base@11.0.19)
  43:            49          10512  [Lio.netty.buffer.PoolSubpage;
  44:           201           9648  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.19)
  45:           363           8712  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.19)
  46:           133           8512  java.net.URL (java.base@11.0.19)
  47:            97           8488  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  48:           264           8448  java.lang.invoke.DirectMethodHandle (java.base@11.0.19)
  49:            50           6552  [J (java.base@11.0.19)
  50:           195           6240  io.netty.util.internal.LongAdderCounter
  51:           256           6144  java.lang.Long (java.base@11.0.19)
  52:           250           6000  java.util.ImmutableCollections$Set12 (java.base@11.0.19)
  53:           179           5728  java.util.logging.LogManager$LogNode (java.logging@11.0.19)
  54:           178           5696  java.lang.Package (java.base@11.0.19)
  55:            86           5584  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.19)
  56:            99           5544  java.util.logging.Logger (java.logging@11.0.19)
  57:            62           4960  java.net.URI (java.base@11.0.19)
  58:            58           4672  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.19)
  59:            96           4608  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.19)
  60:           285           4560  java.lang.Integer (java.base@11.0.19)
  61:           187           4488  java.util.ArrayList (java.base@11.0.19)
  62:           135           4320  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.19)
  63:             3           4208  [Ljava.nio.ByteBuffer; (java.base@11.0.19)
  64:           174           4176  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.19)
  65:           173           4152  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.19)
  66:           256           4096  java.lang.Byte (java.base@11.0.19)
  67:            11           4048  java.lang.Thread (java.base@11.0.19)
  68:            72           4032  java.lang.Module (java.base@11.0.19)
  69:           100           4000  java.util.logging.Logger$ConfigurationData (java.logging@11.0.19)
  70:            62           3968  java.lang.module.ModuleDescriptor (java.base@11.0.19)
  71:            74           3912  [Ljava.lang.reflect.Method; (java.base@11.0.19)
  72:           158           3816  [Ljava.lang.reflect.Constructor; (java.base@11.0.19)
  73:            68           3808  java.util.LinkedHashMap (java.base@11.0.19)
  74:            95           3800  sun.nio.fs.WindowsPath (java.base@11.0.19)
  75:            94           3760  java.util.LinkedHashMap$Entry (java.base@11.0.19)
  76:            24           3648  io.netty.buffer.PoolArena$DirectArena
  77:            24           3648  io.netty.buffer.PoolArena$HeapArena
