C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 33000 GC.class_histogram -all
33000:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:          8010         574688  [B (java.base@11.0.19)
   2:           390         237752  [I (java.base@11.0.19)
   3:           376         234944  [C (java.base@11.0.19)
   4:          6964         167136  java.lang.String (java.base@11.0.19)
   5:          1094         133744  java.lang.Class (java.base@11.0.19)
   6:          2318         124760  [Ljava.lang.Object; (java.base@11.0.19)
   7:          3089          98848  java.util.HashMap$Node (java.base@11.0.19)
   8:          2004          96192  java.nio.HeapCharBuffer (java.base@11.0.19)
   9:           411          63968  [Ljava.util.HashMap$Node; (java.base@11.0.19)
  10:          1082          43280  java.util.LinkedHashMap$Entry (java.base@11.0.19)
  11:          1285          41120  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.19)
  12:          1000          24000  snow.day1.upcast.B
  13:           432          22640  [Ljava.lang.String; (java.base@11.0.19)
  14:           407          19536  java.util.HashMap (java.base@11.0.19)
  15:            57          19280  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.19)
  16:           401           9624  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.19)
  17:           304           7984  [Ljava.lang.Class; (java.base@11.0.19)
  18:            88           7744  java.lang.reflect.Method (java.base@11.0.19)
  19:           160           7680  java.lang.invoke.MemberName (java.base@11.0.19)
  20:           136           7616  jdk.internal.org.objectweb.asm.Item (java.base@11.0.19)
  21:           269           6456  java.util.ImmutableCollections$Set12 (java.base@11.0.19)
  22:           188           6016  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.19)
  23:            72           5760  java.net.URI (java.base@11.0.19)
  24:           237           5688  java.lang.StringBuilder (java.base@11.0.19)
  25:           144           4608  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.19)
  26:            72           4608  java.lang.module.ModuleDescriptor (java.base@11.0.19)
  27:           113           4520  java.lang.invoke.MethodType (java.base@11.0.19)
  28:            69           4416  java.util.concurrent.ConcurrentHashMap (java.base@11.0.19)
  29:             3           4336  [[Ljava.lang.Object; (java.base@11.0.19)
  30:           267           4272  java.util.HashSet (java.base@11.0.19)
  31:           263           4208  java.lang.Integer (java.base@11.0.19)
  32:             4           4160  [Ljdk.internal.org.objectweb.asm.Item; (java.base@11.0.19)
  33:            64           4096  java.net.URL (java.base@11.0.19)
